"sample","file","len","md5"
"01-cafe-warm-a","about-01.jpg","141721","8652491E4248207725BB8C51C5BEBE0F"
"01-cafe-warm-a","about-02.jpg","216831","F826E0E7713B840EA7A3D73AF6490560"
"01-cafe-warm-a","about-03.jpg","75584","0FF74B78FA06722BD81304981B76167D"
"01-cafe-warm-a","hero.jpg","219844","EC63B97E69B9BDBE860D775CE8A61CBE"
"01-cafe-warm-a","work-01.jpg","104778","E2BBB3C178BB23DB61F9C09DA8E14A03"
"01-cafe-warm-a","work-02.jpg","183331","37D40F81CC55A25CF3B47384F37C2D6C"
"01-cafe-warm-a","work-03.jpg","61016","25E3E4603B792CE20E83A0CF7948237A"
"02-cafe-split-b","about-01.jpg","270048","D08604717BB760479916394E711ADD36"
"02-cafe-split-b","about-02.jpg","177405","253875EB0E81A90CAC8B23D0009A5089"
"02-cafe-split-b","about-03.jpg","561125","CC4B3ED0C625853810EE0E054E4742A3"
"02-cafe-split-b","about-04.jpg","82853","6B8658BDBD5B61801D4E2B64C9B31049"
"02-cafe-split-b","hero.jpg","1046082","19C9C36A90775DFDA52A1FBBD13F8353"
"02-cafe-split-b","work-01.jpg","561125","CC4B3ED0C625853810EE0E054E4742A3"
"02-cafe-split-b","work-02.jpg","84923","D8C9CF38893A0FA8583018327917E310"
"02-cafe-split-b","work-03.jpg","383065","743DDC3BA364C9A482A6240FC818DEC0"
"03-cafe-mix-ink-c","about-01.jpg","208064","D9A4083F1FCD8F4F23E8B229CB03DF82"
"03-cafe-mix-ink-c","about-02.jpg","132672","8A16EDE3DEF08B67B2557777F4A8C0E2"
"03-cafe-mix-ink-c","about-03.jpg","336122","02AF2684A20AAF274E9532FAAB55D812"
"03-cafe-mix-ink-c","hero.jpg","97152","09CFFBA6348CBAFC1954D56EF2993AF5"
"03-cafe-mix-ink-c","work-01.jpg","342784","DEF60C0FCA9E6C2A3908C1C783850A36"
"03-cafe-mix-ink-c","work-02.jpg","173107","BF0F1A338223CE17CDED04D279221A2D"
"03-cafe-mix-ink-c","work-03.jpg","176227","F1494759E875B0521F5C435642C41BAD"
"04-salon-clinic-a","about-01.jpg","171294","863020BA98FF2251E1CB7AF8A3D0B9A7"
"04-salon-clinic-a","about-02.jpg","218049","44FA0287E384CF8B0CD64D3813E6C45C"
"04-salon-clinic-a","about-03.jpg","179962","4E4EA6BD522B8EE34505974CF38BD083"
"04-salon-clinic-a","hero.jpg","338608","97292944679FF5A2BD87136E01B687DF"
"04-salon-clinic-a","work-01.jpg","95896","E9221537AD35CA2998EEDDA6B62A8B69"
"04-salon-clinic-a","work-02.jpg","177419","5A034E200D743E4CE3EA47C9C07635E9"
"04-salon-clinic-a","work-03.jpg","287228","EA3FF0467D20A573890466F15F80F3EE"
"05-salon-sakura-b","about-01.jpg","113667","0BFE2D15F977FD25A6A5C6CE8E87292B"
"05-salon-sakura-b","about-02.jpg","195210","00D1E9268A1665ABE6B47B5CD296F2A2"
"05-salon-sakura-b","about-03.jpg","361646","C6E59B4E2905AF4C07B5F8F12B2C06AA"
"05-salon-sakura-b","hero.jpg","254382","864DBFC852588F97D1C034F1745AFCDF"
"05-salon-sakura-b","work-01.jpg","207394","718C29C40B333BAB88FBF088FCEC4A96"
"05-salon-sakura-b","work-02.jpg","152437","57363647AC29D344C0A729EB716429F8"
"05-salon-sakura-b","work-03.jpg","131673","1013901DE0111EE531BAA5D38455ECAC"
"06-bakery-brick-a","about-01.jpg","163581","682B93CA130495302496C9E7DB7AE7D4"
"06-bakery-brick-a","about-02.jpg","119381","7B6A2F58A3E78CA1AF62B49ABE845922"
"06-bakery-brick-a","about-03.jpg","292958","35E55D04EE5A3E9A1BA1CAB284445FC1"
"06-bakery-brick-a","about-04.jpg","107051","A5E58E874608BA75895F2394590125E0"
"06-bakery-brick-a","hero.jpg","149968","BBDFC378578C459DBC1FBF564B61F062"
"06-bakery-brick-a","work-01.jpg","218355","ACE51748BBF6BB63E0CE73F652C74FE1"
"06-bakery-brick-a","work-02.jpg","100899","93A54A22748957B279204EB498F0B17B"
"06-bakery-brick-a","work-03.jpg","90534","E741415BED7B699FDEFB56FFA71694BE"
"07-bakery-cafe-c","about-01.jpg","292001","C21A71F858C34DB570332519FEF363CE"
"07-bakery-cafe-c","about-02.jpg","252353","035FA6563E739712872067BC182894D6"
"07-bakery-cafe-c","about-03.jpg","86261","82B6A8A7B68CB653AB064BDEAF0B0283"
"07-bakery-cafe-c","hero.jpg","136712","22CD3E5376FD50EE1016BA93C4B3E869"
"07-bakery-cafe-c","work-01.jpg","94687","EACCA9FCEE7C550216A62603DC2F4C84"
"07-bakery-cafe-c","work-02.jpg","145170","D0337AC360A3514B61039E50A78BC442"
"07-bakery-cafe-c","work-03.jpg","281503","2BA8CA2733F9A6D70E8EF772B2D127D2"
"08-bar-ink-b","about-01.jpg","239444","4BEAE4D98EF9A3C72D5478CDD2868ADC"
"08-bar-ink-b","about-02.jpg","140176","52C10F593543C661C318F464AF962260"
"08-bar-ink-b","about-03.jpg","94420","93207029A78CD268130BC343477993C9"
"08-bar-ink-b","hero.jpg","168199","7847AD4C1518A931AB85CF9E4F7F2A0B"
"08-bar-ink-b","work-01.jpg","199395","6879CE0E30064E3F9B5F6A9B2EB39E21"
"08-bar-ink-b","work-02.jpg","321923","8BD8ECB2A924FAC7E2591B39920058E6"
"08-bar-ink-b","work-03.jpg","121737","4F031AC96B54750227C4A1E212162E1E"
"09-bar-brick-a","about-01.jpg","247181","B94C8C1AFB44C616494F4C7056989F2D"
"09-bar-brick-a","about-02.jpg","108554","6C7BDFED00D94385527A42D9131E3301"
"09-bar-brick-a","about-03.jpg","94319","DBBCE5AF403CCDEFF7EAA97C7A225155"
"09-bar-brick-a","about-04.jpg","525283","A5E3173FED32545D8DDA0A6C7A044D95"
"09-bar-brick-a","hero.jpg","27328","5EBA6F2BE7CC90F8385A4145F0473DB9"
"09-bar-brick-a","work-01.jpg","203563","FC1C250C57DF5EF0162D7C1D799EC6B9"
"09-bar-brick-a","work-02.jpg","79465","AA11D16FF28F5BEBECC1E5AA6F241A8D"
"09-bar-brick-a","work-03.jpg","348537","5382A67B11CB89B4339F6D1ED221433B"
